Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-03-19T23:17:12.196Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T23:11:06.310Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T22:15:55.574Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T22:11:26.234Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T22:10:52.469Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T21:50:35.457Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T21:47:19.052Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-19T20:56:17.032Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:55:18.205Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:53:58.318Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:53:05.705Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:51:01.205Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:44:11.225Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-19T20:39:02.848Z","You","Included in Pro","No","auto","","Included"
"2025-03-19T20:34:58.304Z","You","Included in Pro","No","auto","","Included"
"2025-03-18T21:49:06.014Z","You","Included in Pro","No","auto","","Included"
"2025-03-18T21:08:54.419Z","You","Included in Pro","No","auto","","Included"
"2025-03-18T20:52:12.888Z","You","Included in Pro","No","auto","","Included"
"2025-03-18T20:42:15.218Z","You","Included in Pro","No","auto","","Included"
"2025-03-15T11:42:01.747Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-15T11:35:11.657Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-15T11:24:21.944Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-15T11:23:10.646Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-13T22:33:41.635Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T22:31:37.112Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T22:25:38.427Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T22:23:48.284Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T22:21:46.692Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:18:07.118Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:15:27.867Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-13T21:13:46.470Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:11:40.265Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-13T21:07:25.615Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:02:07.828Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:01:31.781Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T21:00:02.306Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:44:50.892Z","You","pro-free-trial","No","claude-3.5-sonnet","","Included"
"2025-03-13T20:44:23.636Z","You","pro-free-trial","No","claude-3.5-sonnet","","Included"
"2025-03-13T20:34:35.899Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:08:36.317Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:08:20.758Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:07:32.402Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:05:55.556Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T20:04:14.165Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:56:09.338Z","You","pro-free-trial","No","claude-3.5-sonnet","","Included"
"2025-03-13T19:51:06.725Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:36:27.466Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:34:30.939Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:33:35.586Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:31:47.954Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:31:14.322Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:25:38.412Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:24:46.930Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:23:02.228Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:20:31.104Z","You","pro-free-trial","No","auto","","Included"
"2025-03-13T19:17:15.430Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-13T19:15:52.045Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-13T18:57:55.122Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T22:14:29.550Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T22:11:39.235Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T19:59:26.674Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T19:05:10.992Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:58:57.566Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:55:21.923Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:46:57.695Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:42:23.918Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:39:51.160Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T18:37:50.582Z","You","pro-free-trial","No","auto","","Included"
"2025-03-12T17:39:38.660Z","You","pro-free-trial","No","auto","","Included"
"2025-03-11T22:36:18.007Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T21:19:02.511Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T21:15:07.535Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T21:09:24.059Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T21:02:57.723Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T21:01:38.116Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:55:44.086Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:53:14.782Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:51:26.751Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:50:30.215Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:49:28.943Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:48:11.029Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:46:57.457Z","You","Errored, Not Charged","No","auto","","Included"
"2025-03-10T20:46:23.955Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:44:44.461Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:35:37.687Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:30:49.411Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:28:20.564Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:24:53.607Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:22:46.340Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:21:25.952Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:18:48.182Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:16:25.643Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T20:03:16.535Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T19:48:42.294Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T19:48:06.601Z","You","pro-free-trial","No","auto","","Included"
"2025-03-10T19:47:03.315Z","You","pro-free-trial","No","auto","","Included"
